iter	Passed	Remaining
555	33924	576231
556	33987	576198
557	34051	576192
558	34110	576091
559	34170	576021
560	34232	575969
561	34293	575918
562	34350	575786
563	34415	575782
564	34476	575724
565	34535	575639
566	34595	575560
567	34654	575467
568	34713	575367
569	34775	575326
570	34835	575250
571	34895	575157
572	34956	575107
573	35016	575021
574	35074	574915
575	35134	574845
576	35194	574763
577	35254	574691
578	35313	574592
579	35372	574504
580	35434	574455
581	35499	574454
582	35561	574420
583	35625	574394
584	35686	574332
585	35743	574209
586	35801	574105
587	35863	574052
588	35926	574027
589	35985	573937
590	36042	573814
591	36101	573718
592	36162	573654
593	36224	573609
594	36283	573522
595	36346	573493
596	36405	573397
597	36466	573337
598	36527	573285
599	36589	573236
600	36650	573171
601	36719	573242
602	36781	573194
603	36846	573202
604	36910	573172
605	36970	573097
606	37029	573016
607	37088	572920
608	37150	572868
609	37211	572809
610	37269	572709
611	37329	572633
612	37387	572519
613	37445	572418
614	37506	572361
615	37567	572296
616	37625	572184
617	37688	572165
618	37747	572060
619	37806	571980
620	37865	571882
621	37927	571845
622	37985	571739
623	38046	571666
624	38106	571603
625	38170	571580
626	38227	571456
627	38290	571429
628	38351	571376
629	38412	571316
630	38473	571253
631	38535	571198
632	38593	571104
633	38653	571029
634	38713	570950
635	38776	570909
636	38835	570833
637	38899	570814
638	38960	570745
639	39021	570683
640	39082	570630
641	39143	570562
642	39202	570483
643	39261	570395
644	39323	570345
645	39385	570299
646	39446	570242
647	39507	570176
648	39570	570148
649	39633	570116
650	39693	570031
651	39753	569957
652	39813	569887
653	39873	569807
654	39929	569674
655	39988	569590
656	40048	569515
657	40108	569448
658	40166	569343
659	40231	569342
660	40293	569283
661	40353	569213
662	40416	569182
663	40475	569095
664	40535	569023
665	40591	568884
666	40652	568833
667	40714	568777
668	40772	568687
669	40831	568589
670	40894	568566
671	40956	568513
672	41015	568426
673	41074	568336
674	41134	568259
675	41192	568162
676	41249	568052
677	41311	567997
678	41370	567914
679	41431	567852
680	41490	567771
681	41547	567659
682	41610	567616
683	41670	567545
684	41731	567484
685	41793	567441
686	41851	567334
687	41914	567312
688	41976	567265
689	42036	567194
690	42098	567143
691	42160	567092
692	42221	567035
693	42282	566971
694	42341	566894
695	42400	566796
696	42460	566726
697	42523	566700
698	42581	566592
699	42643	566543
700	42702	566465
701	42771	566505
702	42832	566447
703	42895	566420
704	42957	566366
705	43015	566273
706	43078	566236
707	43140	566182
708	43199	566097
709	43264	566092
710	43322	565992
711	43382	565917
712	43439	565808
713	43498	565723
714	43559	565668
715	43618	565582
716	43677	565496
717	43738	565435
718	43800	565391
719	43860	565317
720	43919	565228
721	43979	565154
722	44037	565060
723	44097	564984
724	44154	564877
725	44218	564857
726	44278	564781
727	44338	564710
728	44401	564673
729	44463	564627
730	44522	564544
731	44584	564491
732	44642	564401
733	44701	564312
734	44762	564250
735	44823	564195
736	44887	564169
737	44945	564069
738	45005	563997
739	45063	563897
740	45121	563805
741	45182	563751
742	45243	563688
743	45306	563648
744	45367	563591
745	45426	563505
746	45488	563459
747	45548	563394
748	45606	563295
749	45665	563213
750	45727	563155
751	45788	563097
752	45845	562992
753	45907	562948
754	45970	562906
755	46029	562830
756	46089	562752
757	46149	562685
758	46207	562584
759	46267	562509
760	46327	562444
761	46385	562352
762	46446	562283
763	46506	562211
764	46567	562154
765	46628	562093
766	46686	562004
767	46744	561912
768	46807	561874
769	46867	561798
770	46926	561719
771	46984	561628
772	47045	561558
773	47105	561498
774	47166	561438
775	47225	561350
776	47283	561250
777	47343	561184
778	47407	561166
779	47469	561111
780	47527	561022
781	47589	560977
782	47649	560906
783	47709	560832
784	47769	560758
785	47829	560687
786	47890	560627
787	47956	560623
788	48015	560544
789	48076	560486
790	48138	560439
791	48200	560396
792	48260	560318
793	48321	560256
794	48380	560181
795	48441	560122
796	48502	560057
797	48564	560008
798	48623	559934
799	48686	559900
800	48749	559860
801	48821	559928
802	48880	559846
803	48947	559848
804	49007	559784
805	49066	559703
806	49128	559652
807	49187	559565
808	49248	559506
809	49307	559421
810	49364	559322
811	49428	559292
812	49490	559247
813	49551	559190
814	49609	559098
815	49668	559010
816	49728	558945
817	49789	558887
818	49848	558799
819	49910	558752
820	49969	558668
821	50029	558605
822	50092	558559
823	50153	558501
824	50212	558425
825	50268	558312
826	50328	558241
827	50393	558220
828	50452	558147
829	50512	558075
830	50575	558029
831	50631	557917
832	50691	557854
833	50750	557773
834	50813	557731
835	50873	557662
836	50936	557622
837	50996	557552
838	51054	557463
839	51115	557400
840	51175	557328
841	51236	557269
842	51296	557200
843	51355	557119
844	51414	557035
845	51476	556989
846	51535	556913
847	51595	556839
848	51656	556782
849	51716	556708
850	51774	556622
851	51836	556576
852	51896	556507
853	51955	556427
854	52014	556339
855	52073	556264
856	52132	556184
857	52189	556083
858	52248	556000
859	52311	555958
860	52369	555870
861	52431	555820
862	52489	555734
863	52550	555677
864	52611	555610
865	52671	555544
866	52727	555436
867	52787	555359
868	52844	555263
869	52902	555168
870	52959	555073
871	53021	555028
872	53081	554952
873	53145	554921
874	53205	554856
875	53266	554796
876	53326	554730
877	53390	554700
878	53448	554610
879	53510	554565
880	53569	554483
881	53629	554416
882	53691	554366
883	53750	554290
884	53806	554179
885	53870	554144
886	53933	554110
887	53993	554040
888	54054	553986
889	54115	553920
890	54175	553858
891	54243	553868
892	54302	553791
893	54364	553743
894	54425	553679
895	54485	553606
896	54544	553532
897	54604	553465
898	54667	553427
899	54731	553393
900	54790	553313
901	54860	553347
902	54919	553272
903	54974	553145
904	55035	553095
905	55095	553024
906	55154	552944
907	55215	552887
908	55275	552820
909	55332	552717
910	55393	552653
911	55449	552548
912	55511	552496
913	55574	552460
914	55632	552377
915	55694	552325
916	55755	552264
917	55817	552217
918	55876	552137
919	55936	552067
920	55998	552018
921	56056	551934
922	56118	551880
923	56176	551796
924	56234	551705
925	56294	551641
926	56358	551611
927	56416	551520
928	56475	551437
929	56534	551365
930	56595	551304
931	56654	551229
932	56716	551174
933	56779	551139
934	56839	551072
935	56899	550998
936	56959	550931
937	57017	550844
938	57075	550757
939	57134	550678
940	57194	550609
941	57259	550589
942	57320	550530
943	57379	550455
944	57439	550383
945	57499	550316
946	57558	550241
947	57616	550149
948	57673	550058
949	57734	549995
950	57795	549935
951	57857	549885
952	57916	549811
953	57978	549757
954	58037	549684
955	58097	549620
956	58159	549572
957	58224	549547
958	58286	549497
959	58344	549410
960	58404	549344
961	58465	549283
962	58523	549197
963	58581	549105
